,Nama_Produk,Akun,Ulasan,rate,Ulasan_tokenize,Ulasan_normalized,Ulasan_stop_removed	,Ulasan_Stemmed,Ulasan_clean
1,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Stephanus,dua kali beli sayang lambat respon order pagi kirim sore respon respon itu kirim besok barang bagus sesuai harga,3,"['yang', 'dua', 'kali', 'beli', 'sayang', 'lambat', 'respon', 'order', 'pagi', 'kirim', 'sore', 'respon', 'respon', 'itu', 'kirim', 'besok', 'barang', 'bagus', 'sesuai', 'harga']","['yang', 'dua', 'kali', 'beli', 'sayang', 'lambat', 'respon', 'order', 'pagi', 'kirim', 'sore', 'respon', 'respon', 'itu', 'kirim', 'besok', 'barang', 'bagus', 'sesuai', 'harga']","['dua', 'kali', 'beli', 'sayang', 'lambat', 'respon', 'order', 'pagi', 'kirim', 'sore', 'respon', 'respon', 'kirim', 'besok', 'barang', 'bagus', 'sesuai', 'harga']","['dua', 'kali', 'beli', 'sayang', 'lambat', 'respon', 'order', 'pagi', 'kirim', 'sore', 'respon', 'respon', 'kirim', 'besok', 'barang', 'bagus', 'sesuai', 'harga']",dua kali beli sayang lambat respon order pagi kirim sore respon respon kirim besok barang bagus sesuai harga
2,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Yati,bagus kirim cepat,5,"['bagus', 'kirim', 'cepat']","['bagus', 'kirim', 'cepat']","['bagus', 'kirim', 'cepat']","['bagus', 'kirim', 'cepat']",bagus kirim cepat
3,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesan,5,"['barang', 'sesuai', 'pesan'] ","['barang', 'sesuai', 'pesan']","['barang', 'sesuai', 'pesan']","['barang', 'sesuai', 'pesan']",barang sesuai pesan
4,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Febby,panas pakai,2,"['panas', 'pakai']","['panas', 'pakai']","['panas', 'pakai']","['panas', 'pakai']",panas pakai
5,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Rahmat,barang sesuai minta bagus komunikasi jual beli pro aktif,3,"['barang', 'sesuai', 'minta', 'bagus', 'komunikasi', 'jual', 'beli', 'pro', 'aktif']","['barang', 'sesuai', 'minta', 'bagus', 'komunikasi', 'jual', 'beli', 'pro', 'aktif']","['barang', 'sesuai', 'minta', 'bagus', 'komunikasi', 'jual', 'beli', 'pro', 'aktif']","['barang', 'sesuai', 'minta', 'bagus', 'komunikasi', 'jual', 'beli', 'pro', 'aktif']",
6,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Alden,bagus masker,5,"['bagus', 'masker']","['bagus', 'masker']","['bagus', 'masker']","['bagus', 'masker']",bagus masker
7,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Heni,pengirimn cepat produk bagus konsumen suka makasih,5,"['pengiriman', 'cepat', 'produk', 'bagus', 'konsumen', 'suka', 'makasih']","['pengiriman', 'cepat', 'produk', 'bagus', 'konsumen', 'suka', 'makasih']","['pengiriman', 'cepat', 'produk', 'bagus', 'konsumen', 'suka', 'makasih']","['pengiriman', 'cepat', 'produk', 'bagus', 'konsumen', 'suka', 'makasih']",pengiriman cepat produk bagus konsumen suka makasih
8,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesan kirim cepat,5,"['barang', 'sesuai', 'pesan', 'kirim', 'cepat']","['barang', 'sesuai', 'pesan', 'kirim', 'cepat']","['barang', 'sesuai', 'pesan', 'kirim', 'cepat']","['barang', 'sesuai', 'pesan', 'kirim', 'cepat']",barang sesuai pesan kirim cepat
9,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,n***l,proses barang jemput kurir banget anjas pokok,5,"['proses', 'barang', 'jemput', 'kurir', 'banget', 'anjas', 'pokok']","['proses', 'barang', 'jemput', 'kurir', 'banget', 'anjas', 'pokok']","['proses', 'barang', 'jemput', 'kurir', 'banget', 'pokok']","['proses', 'barang', 'jemput', 'kurir', 'banget', 'pokok']",proses barang jemput kurir banget pokok
10,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Antonius,mantabspesan warna hitam putih pink,4,"['mantab', 'pesan', 'warna', 'hitam', 'putih', 'pink']","['mantab', 'pesan', 'warna', 'hitam', 'putih', 'pink']","['mantab', 'pesan', 'warna', 'hitam', 'putih', 'pink']","['mantab', 'pesan', 'warna', 'hitam', 'putih', 'pink']",mantab pesan warna hitam putih pink
